72,wikidataId/Q184163,,,,,,,,,,,,,,,,,,,,,,,,,,121859.0,,,,,,,,,,,Colchester,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q184163,wikidataId/Q184163,GBR,United Kingdom
73,wikidataId/Q184579,,,,,,,,,,,,,,,,,,,,,,,,,,128139.0,,,,,,,,,,285372.0,Bolton,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q184579,wikidataId/Q184579,GBR,United Kingdom
74,wikidataId/Q184775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147522.0,,,Ipswich,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q184775,wikidataId/Q184775,GBR,United Kingdom
75,wikidataId/Q1854684,,,,,,,,,,,,,,,,,,,,,,,,,,8017.0,,,,,,,,,,,Gerrards Cross,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1854684,wikidataId/Q1854684,GBR,United Kingdom
76,wikidataId/Q188313,,,,,,,,,,,,,,,,,,,,,,,,,,117963.0,,,,,,,,,,,Blackburn,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q188313,wikidataId/Q188313,GBR,United Kingdom
77,wikidataId/Q192240,,,,,,,,,,,,,,,,,,,,,,,,,,212100.0,,,,,,,,,,,Northampton,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q192240,wikidataId/Q192240,GBR,United Kingdom
78,wikidataId/Q192896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75399.0,,,Carlisle,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q192896,wikidataId/Q192896,GBR,United Kingdom
79,wikidataId/Q19792,,,,,,,,,,,,,,,,,,,,,,,,,,18799.0,,,,,,,,,,,Ware,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q19792,wikidataId/Q19792,GBR,United Kingdom
80,wikidataId/Q19797,,,,,,,,,,,,,,,,,,,,,,,,,38202.0,,,,,,,,,,,,Bishop's Stortford,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q19797,wikidataId/Q19797,GBR,United Kingdom
81,wikidataId/Q19798,,,,,,,,,,,,,,,,,,,,,,,,,,34266.0,,,,,,,,,,,Hitchin,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q19798,wikidataId/Q19798,GBR,United Kingdom
82,wikidataId/Q19801,,,,,,,,,,,,,,,,,,,,,,,,,,33249.0,,,,,,,,,,,Letchworth Garden City,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q19801,wikidataId/Q19801,GBR,United Kingdom
83,wikidataId/Q1992389,,,,,,,,,,,,,,,,,,,,,,,,,,1938.0,,,,,,,,,,,Beaumaris,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1992389,wikidataId/Q1992389,GBR,United Kingdom
84,wikidataId/Q2003600,,,,,,,,,,,,,,,,,,,,,,,,,,66566.0,,,,,,,,,,,Walton-on-Thames,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q2003600,wikidataId/Q2003600,GBR,United Kingdom
85,wikidataId/Q201812,,,,,,,,,,,,,,,,,,,,,,,,,,162949.0,,,,,,,,,,,Huddersfield,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q201812,wikidataId/Q201812,GBR,United Kingdom
86,wikidataId/Q201970,,,,,,,,,,,,,,,,,,,,,,,,,,71715.0,,,,,,,,,,,Shrewsbury,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q201970,wikidataId/Q201970,GBR,United Kingdom
87,wikidataId/Q2020203,,,,,,,,,,,,,,,,,,,,,,,,,,25149.0,,,,,,,,,,,Rhyl,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q2020203,wikidataId/Q2020203,GBR,United Kingdom
88,wikidataId/Q202628,,,,,,,,,,,,,,,,,,,,,,,,,,96555.0,,,,,,,,,,,Oldham,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q202628,wikidataId/Q202628,GBR,United Kingdom
89,wikidataId/Q203000,,,,,,,,,,,,,,,,,,,,,43450.0,,,,,,,,,,,,,,,,Perth,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q203000,wikidataId/Q203000,GBR,United Kingdom
90,wikidataId/Q204720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63024.0,,,Hereford,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q204720,wikidataId/Q204720,GBR,United Kingdom
91,wikidataId/Q205905,,,,,,,,,,,,,,,,,,,,,,,,,,52234.0,,,,,,,,,,,Lancaster,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q205905,wikidataId/Q205905,GBR,United Kingdom
92,wikidataId/Q206988,,,,,,,,,,,,,,,,,,,,,,,,,,116447.0,,,,,,,,,,,Cheltenham,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q206988,wikidataId/Q206988,GBR,United Kingdom
93,wikidataId/Q2070717,,,,,,,,,,,,,,,,,,,,,18768.0,,,,,20768.0,,,,,,,,,,,Leek,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q2070717,wikidataId/Q2070717,GBR,United Kingdom
94,wikidataId/Q2078535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38420.0,,,Chorley,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q2078535,wikidataId/Q2078535,GBR,United Kingdom
95,wikidataId/Q208257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92407.0,,,Bedford,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q208257,wikidataId/Q208257,GBR,United Kingdom
96,wikidataId/Q208262,,,,,,,,,,,,,,,,,,,,,,,93630.0,,,99412.0,,,,101547.0,,,,,,,Eastbourne,54.25,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q208262,wikidataId/Q208262,GBR,United Kingdom
