,place,2001,2005,2008,2010,2011,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
92,wikidataId/Q1708439,,,,,147221.0,,,,,,,,,,,,Habra,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1708439,wikidataId/Q1708439,IND,India
93,wikidataId/Q1714838,,,,,101043.0,,,,,,,,,,,,Jasdan,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1714838,wikidataId/Q1714838,IND,India
94,wikidataId/Q17157404,,,,,386745.0,,,,,,,,,,,,Bairia,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q17157404,wikidataId/Q17157404,IND,India
95,wikidataId/Q171771,,,,,837321.0,,,,,,,,,,,,Bhubaneswar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q171771,wikidataId/Q171771,IND,India
96,wikidataId/Q174461,,,,,1073427.0,,,,,,,,,,,,Ranchi,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q174461,wikidataId/Q174461,IND,India
97,wikidataId/Q1748623,,,,,19181.0,,,,,,,,,,,,Maghar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1748623,wikidataId/Q1748623,IND,India
98,wikidataId/Q1755548,29597.0,,,,,,,,,,,,,,,,Idar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1755548,wikidataId/Q1755548,IND,India
99,wikidataId/Q1772751,,,,,211424.0,,,,,,,,,,,,Nandyala,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1772751,wikidataId/Q1772751,IND,India
100,wikidataId/Q1772763,,,,,80056.0,,,,,,,,,,,,Srikalahasti,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1772763,wikidataId/Q1772763,IND,India
101,wikidataId/Q1772819,,,,,126444.0,,,,,,,,,,,,Wardha,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1772819,wikidataId/Q1772819,IND,India
