,place,1996,2001,2006,2009,2011,2012,2013,2014,2016,2016,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
90,wikidataId/Q1381013,,,,,1402.0,,,,,,,,,,Creighton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1381013,wikidataId/Q1381013,CAN,Canada
91,wikidataId/Q1381546,,,,,453.0,,,,,,,,,,Craik,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1381546,wikidataId/Q1381546,CAN,Canada
92,wikidataId/Q1381553,,,,,770.0,,,,,,,,,,Cudworth,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1381553,wikidataId/Q1381553,CAN,Canada
93,wikidataId/Q1381557,,,,,579.0,,,,,,,,,,Cupar,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1381557,wikidataId/Q1381557,CAN,Canada
94,wikidataId/Q1383701,,,,,,,,,4174.0,,,,,,"New Maryland, New Brunswick",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1383701,wikidataId/Q1383701,CAN,Canada
95,wikidataId/Q1386148,,,500.0,,,,,,,,,,,,"Tête Jaune Cache, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1386148,wikidataId/Q1386148,CAN,Canada
96,wikidataId/Q138841,,,,,20783.0,,,,,,,,,,Beloeil,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q138841,wikidataId/Q138841,CAN,Canada
97,wikidataId/Q138973,,,,,,,,,2114.0,,,,,,Ste. Anne,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q138973,wikidataId/Q138973,CAN,Canada
98,wikidataId/Q138976,,,,,1023.0,,,,,,,,,,Ste. Rose du Lac,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q138976,wikidataId/Q138976,CAN,Canada
99,wikidataId/Q138997,,,,,,,,,5050.0,,,,,,Montreal West,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q138997,wikidataId/Q138997,CAN,Canada
